POC:	Eric Stoneking (NASA-GSFC), 301-286-8600		
88.45	1857.08	1877.08	20.00
88.46	1857.28	1877.28	20.00
88.47	1857.48	1877.48	20.00
88.48	1857.68	1877.68	20.00
88.49	1857.88	1877.88	20.00
88.50	1858.08	1878.08	20.00
88.51	1858.28	1878.28	20.00
88.52	1858.48	1878.48	20.00
88.53	1858.68	1878.68	20.00
88.54	1858.88	1878.88	20.00
88.55	1859.08	1879.08	20.00
88.56	1859.28	1879.28	20.00
88.57	1859.48	1879.48	20.00
88.58	1859.68	1879.68	20.00
88.59	1859.88	1879.88	20.00
88.60	1860.08	1880.08	20.00
88.61	1860.28	1880.28	20.00
88.62	1860.48	1880.48	20.00
88.63	1860.68	1880.68	20.00
88.64	1860.88	1880.88	20.00
88.65	1861.08	1881.08	20.00
88.66	1861.28	1881.28	20.00
88.67	1861.48	1881.48	20.00
88.68	1861.68	1881.68	20.00
88.69	1861.88	1881.88	20.00
88.70	1862.08	1882.08	20.00
88.71	1862.28	1882.28	20.00
88.72	1862.48	1882.48	20.00
88.73	1862.68	1882.68	20.00
88.74	1862.88	1882.88	20.00
88.75	1863.08	1883.08	20.00
88.76	1863.28	1883.28	20.00
88.77	1863.48	1883.48	20.00
88.78	1863.68	1883.68	20.00
88.79	1863.88	1883.88	20.00
88.80	1864.08	1884.08	20.00
88.81	1864.28	1884.28	20.00
88.82	1864.48	1884.48	20.00
88.83	1864.68	1884.68	20.00
88.84	1864.88	1884.88	20.00
88.85	1865.08	1885.08	20.00
88.86	1865.28	1885.28	20.00
88.87	1865.48	1885.48	20.00
88.88	1865.68	1885.68	20.00
88.89	1865.88	1885.88	20.00
88.90	1866.08	1886.08	20.00
88.91	1866.28	1886.28	20.00
88.92	1866.48	1886.48	20.00
88.93	1866.68	1886.68	20.00
88.94	1866.88	1886.88	20.00
88.95	1867.08	1887.08	20.00
88.96	1867.28	1887.28	20.00
88.97	1867.48	1887.48	20.00
88.98	1867.68	1887.68	20.00
88.99	1867.88	1887.88	20.00
89.00	1868.08	1888.08	20.00
89.01	1868.28	1888.28	20.00
89.02	1868.48	1888.48	20.00
89.03	1868.68	1888.68	20.00
89.04	1868.88	1888.88	20.00
89.05	1869.08	1889.08	20.00
89.06	1869.28	1889.28	20.00
89.07	1869.48	1889.48	20.00
89.08	1869.68	1889.68	20.00
89.09	1869.88	1889.88	20.00
89.10	1870.08	1890.08	20.00
89.11	1870.28	1890.28	20.00
89.12	1870.48	1890.48	20.00
89.13	1870.68	1890.68	20.00
89.14	1870.88	1890.88	20.00
89.15	1871.08	1891.08	20.00
89.16	1871.28	1891.28	20.00
89.17	1871.48	1891.48	20.00
89.18	1871.68	1891.68	20.00
89.19	1871.88	1891.88	20.00
89.20	1872.08	1892.08	20.00
89.21	1872.28	1892.28	20.00
89.22	1872.48	1892.48	20.00
89.23	1872.68	1892.68	20.00
89.24	1872.88	1892.88	20.00
89.25	1873.08	1893.08	20.00
89.26	1873.28	1893.28	20.00
89.27	1873.48	1893.48	20.00
89.28	1873.68	1893.68	20.00
89.29	1873.88	1893.88	20.00
89.30	1874.08	1894.08	20.00
89.31	1874.28	1894.28	20.00
89.32	1874.48	1894.48	20.00
89.33	1874.68	1894.68	20.00
89.34	1874.88	1894.88	20.00
89.35	1875.08	1895.08	20.00
89.36	1875.28	1895.28	20.00
89.37	1875.48	1895.48	20.00
89.38	1875.68	1895.68	20.00
89.39	1875.88	1895.88	20.00
89.40	1876.08	1896.08	20.00
89.41	1876.28	1896.28	20.00
89.42	1876.48	1896.48	20.00
89.43	1876.68	1896.68	20.00
89.44	1876.88	1896.88	20.00
89.45	1877.08	1897.08	20.00
89.46	1877.28	1897.28	20.00
89.47	1877.48	1897.48	20.00
89.48	1877.68	1897.68	20.00
89.49	1877.88	1897.88	20.00
89.50	1878.08	1898.08	20.00
89.51	1878.28	1898.28	20.00
89.52	1878.48	1898.48	20.00
89.53	1878.68	1898.68	20.00
89.54	1878.88	1898.88	20.00
89.55	1879.08	1899.08	20.00
89.56	1879.28	1899.28	20.00
89.57	1879.48	1899.48	20.00
89.58	1879.68	1899.68	20.00
89.59	1879.88	1899.88	20.00
89.60	1880.08	1900.08	20.00
89.61	1880.28	1900.28	20.00
89.62	1880.48	1900.48	20.00
89.63	1880.68	1900.68	20.00
89.64	1880.88	1900.88	20.00
89.65	1881.08	1901.08	20.00
89.66	1881.28	1901.28	20.00
89.67	1881.48	1901.48	20.00
89.68	1881.68	1901.68	20.00
89.69	1881.88	1901.88	20.00
89.70	1882.08	1902.08	20.00
89.71	1882.28	1902.28	20.00
89.72	1882.48	1902.48	20.00
89.73	1882.68	1902.68	20.00
89.74	1882.88	1902.88	20.00
89.75	1883.08	1903.08	20.00
89.76	1883.28	1903.28	20.00
89.77	1883.48	1903.48	20.00
89.78	1883.68	1903.68	20.00
89.79	1883.88	1903.88	20.00
89.80	1884.08	1904.08	20.00
89.81	1884.28	1904.28	20.00
89.82	1884.48	1904.48	20.00
89.83	1884.68	1904.68	20.00
89.84	1884.88	1904.88	20.00
89.85	1885.08	1905.08	20.00
89.86	1885.28	1905.28	20.00
89.87	1885.48	1905.48	20.00
89.88	1885.68	1905.68	20.00
89.89	1885.88	1905.88	20.00
89.90	1886.08	1906.08	20.00
89.91	1886.28	1906.28	20.00
89.92	1886.48	1906.48	20.00
89.93	1886.68	1906.68	20.00
89.94	1886.88	1906.88	20.00
89.95	1887.08	1907.08	20.00
89.96	1887.28	1907.28	20.00
89.97	1887.48	1907.48	20.00
89.98	1887.68	1907.68	20.00
89.99	1887.88	1907.88	20.00
90.00	1888.08	1908.08	20.00
90.01	1888.28	1908.28	20.00
90.02	1888.48	1908.48	20.00
90.03	1888.68	1908.68	20.00
90.04	1888.88	1908.88	20.00
90.05	1889.08	1909.08	20.00
90.06	1889.28	1909.28	20.00
90.07	1889.48	1909.48	20.00
90.08	1889.68	1909.68	20.00
90.09	1889.88	1909.88	20.00
90.10	1890.08	1910.08	20.00
90.11	1890.28	1910.28	20.00
90.12	1890.48	1910.48	20.00
90.13	1890.68	1910.68	20.00
90.14	1890.88	1910.88	20.00
90.15	1891.08	1911.08	20.00
90.16	1891.28	1911.28	20.00
90.17	1891.48	1911.48	20.00
90.18	1891.68	1911.68	20.00
90.19	1891.88	1911.88	20.00
90.20	1892.08	1912.08	20.00
90.21	1892.28	1912.28	20.00
90.22	1892.48	1912.48	20.00
90.23	1892.68	1912.68	20.00
90.24	1892.88	1912.88	20.00
90.25	1893.08	1913.08	20.00
90.26	1893.28	1913.28	20.00
90.27	1893.48	1913.48	20.00
90.28	1893.68	1913.68	20.00
90.29	1893.88	1913.88	20.00
90.30	1894.08	1914.08	20.00
90.31	1894.28	1914.28	20.00
90.32	1894.48	1914.48	20.00
90.33	1894.68	1914.68	20.00
90.34	1894.88	1914.88	20.00
90.35	1895.08	1915.08	20.00
90.36	1895.28	1915.28	20.00
90.37	1895.48	1915.48	20.00
90.38	1895.68	1915.68	20.00
90.39	1895.88	1915.88	20.00
90.40	1896.08	1916.08	20.00
90.41	1896.28	1916.28	20.00
90.42	1896.48	1916.48	20.00
90.43	1896.68	1916.68	20.00
90.44	1896.88	1916.88	20.00
90.45	1897.08	1917.08	20.00
90.46	1897.28	1917.28	20.00
90.47	1897.48	1917.48	20.00
90.48	1897.68	1917.68	20.00
90.49	1897.88	1917.88	20.00
90.50	1898.08	1918.08	20.00
90.51	1898.28	1918.28	20.00
90.52	1898.48	1918.48	20.00
90.53	1898.68	1918.68	20.00
90.54	1898.88	1918.88	20.00
90.55	1899.08	1919.08	20.00
90.56	1899.28	1919.28	20.00
90.57	1899.48	1919.48	20.00
90.58	1899.68	1919.68	20.00
90.59	1899.88	1919.88	20.00
90.60	1900.08	1920.08	20.00
90.61	1900.28	1920.28	20.00
90.62	1900.48	1920.48	20.00
90.63	1900.68	1920.68	20.00
90.64	1900.88	1920.88	20.00
90.65	1901.08	1921.08	20.00
90.66	1901.28	1921.28	20.00
90.67	1901.48	1921.48	20.00
90.68	1901.68	1921.68	20.00
90.69	1901.88	1921.88	20.00
90.70	1902.08	1922.08	20.00
90.71	1902.28	1922.28	20.00
90.72	1902.48	1922.48	20.00
90.73	1902.68	1922.68	20.00
90.74	1902.88	1922.88	20.00
90.75	1903.08	1923.08	20.00
90.76	1903.28	1923.28	20.00
90.77	1903.48	1923.48	20.00
90.78	1903.68	1923.68	20.00
90.79	1903.88	1923.88	20.00
90.80	1904.08	1924.08	20.00
90.81	1904.28	1924.28	20.00
90.82	1904.48	1924.48	20.00
90.83	1904.68	1924.68	20.00
90.84	1904.88	1924.88	20.00
90.85	1905.08	1925.08	20.00
90.86	1905.28	1925.28	20.00
90.87	1905.48	1925.48	20.00
90.88	1905.68	1925.68	20.00
90.89	1905.88	1925.88	20.00
90.90	1906.08	1926.08	20.00
90.91	1906.28	1926.28	20.00
90.92	1906.48	1926.48	20.00
90.93	1906.68	1926.68	20.00
90.94	1906.88	1926.88	20.00
90.95	1907.08	1927.08	20.00
90.96	1907.28	1927.28	20.00
90.97	1907.48	1927.48	20.00
90.98	1907.68	1927.68	20.00
90.99	1907.88	1927.88	20.00
91.00	1908.08	1928.08	20.00
91.01	1908.28	1928.28	20.00
91.02	1908.48	1928.48	20.00
91.03	1908.68	1928.68	20.00
91.04	1908.88	1928.88	20.00
91.05	1909.08	1929.08	20.00
91.06	1909.28	1929.28	20.00
91.07	1909.48	1929.48	20.00
91.08	1909.68	1929.68	20.00
91.09	1909.88	1929.88	20.00
91.10	1910.08	1930.08	20.00
91.11	1910.28	1930.28	20.00
91.12	1910.48	1930.48	20.00
91.13	1910.68	1930.68	20.00
91.14	1910.88	1930.88	20.00
91.15	1911.08	1931.08	20.00
91.16	1911.28	1931.28	20.00
91.17	1911.48	1931.48	20.00
91.18	1911.68	1931.68	20.00
91.19	1911.88	1931.88	20.00
91.20	1912.08	1932.08	20.00
91.21	1912.28	1932.28	20.00
91.22	1912.48	1932.48	20.00
91.23	1912.68	1932.68	20.00
91.24	1912.88	1932.88	20.00
91.25	1913.08	1933.08	20.00
91.26	1913.28	1933.28	20.00
91.27	1913.48	1933.48	20.00
91.28	1913.68	1933.68	20.00
91.29	1913.88	1933.88	20.00
91.30	1914.08	1934.08	20.00
91.31	1914.28	1934.28	20.00
91.32	1914.48	1934.48	20.00
91.33	1914.68	1934.68	20.00
91.34	1914.88	1934.88	20.00
91.35	1915.08	1935.08	20.00
91.36	1915.28	1935.28	20.00
91.37	1915.48	1935.48	20.00
91.38	1915.68	1935.68	20.00
91.39	1915.88	1935.88	20.00
91.40	1916.08	1936.08	20.00
91.41	1916.28	1936.28	20.00
91.42	1916.48	1936.48	20.00
91.43	1916.68	1936.68	20.00
91.44	1916.88	1936.88	20.00
91.45	1917.08	1937.08	20.00
91.46	1917.28	1937.28	20.00
91.47	1917.48	1937.48	20.00
91.48	1917.68	1937.68	20.00
91.49	1917.88	1937.88	20.00
91.50	1918.08	1938.08	20.00
91.51	1918.28	1938.28	20.00
91.52	1918.48	1938.48	20.00
91.53	1918.68	1938.68	20.00
91.54	1918.88	1938.88	20.00
91.55	1919.08	1939.08	20.00
91.56	1919.28	1939.28	20.00
91.57	1919.48	1939.48	20.00
91.58	1919.68	1939.68	20.00
91.59	1919.88	1939.88	20.00
91.60	1920.08	1940.08	20.00
91.61	1920.28	1940.28	20.00
91.62	1920.48	1940.48	20.00
91.63	1920.68	1940.68	20.00
91.64	1920.88	1940.88	20.00
91.65	1921.08	1941.08	20.00
91.66	1921.28	1941.28	20.00
91.67	1921.48	1941.48	20.00
91.68	1921.68	1941.68	20.00
91.69	1921.88	1941.88	20.00
91.70	1922.08	1942.08	20.00
91.71	1922.28	1942.28	20.00
91.72	1922.48	1942.48	20.00
91.73	1922.68	1942.68	20.00
91.74	1922.88	1942.88	20.00
91.75	1923.08	1943.08	20.00
91.76	1923.28	1943.28	20.00
91.77	1923.48	1943.48	20.00
91.78	1923.68	1943.68	20.00
91.79	1923.88	1943.88	20.00
91.80	1924.08	1944.08	20.00
91.81	1924.28	1944.28	20.00
91.82	1924.48	1944.48	20.00
91.83	1924.68	1944.68	20.00
91.84	1924.88	1944.88	20.00
91.85	1925.08	1945.08	20.00
91.86	1925.28	1945.28	20.00
91.87	1925.48	1945.48	20.00
91.88	1925.68	1945.68	20.00
91.89	1925.88	1945.88	20.00
91.90	1926.08	1946.08	20.00
91.91	1926.28	1946.28	20.00
91.92	1926.48	1946.48	20.00
91.93	1926.68	1946.68	20.00
91.94	1926.88	1946.88	20.00
91.95	1927.08	1947.08	20.00
91.96	1927.28	1947.28	20.00
91.97	1927.48	1947.48	20.00
91.98	1927.68	1947.68	20.00
91.99	1927.88	1947.88	20.00
92.00	1928.08	1948.08	20.00
92.01	1928.28	1948.28	20.00
92.02	1928.48	1948.48	20.00
92.03	1928.68	1948.68	20.00
92.04	1928.88	1948.88	20.00
92.05	1929.08	1949.08	20.00
92.06	1929.28	1949.28	20.00
92.07	1929.48	1949.48	20.00
92.08	1929.68	1949.68	20.00
92.09	1929.88	1949.88	20.00
92.10	1930.08	1950.08	20.00
92.11	1930.28	1950.28	20.00
92.12	1930.48	1950.48	20.00
92.13	1930.68	1950.68	20.00
92.14	1930.88	1950.88	20.00
92.15	1931.08	1951.08	20.00
92.16	1931.28	1951.28	20.00
92.17	1931.48	1951.48	20.00
92.18	1931.68	1951.68	20.00
92.19	1931.88	1951.88	20.00
92.20	1932.08	1952.08	20.00
92.21	1932.28	1952.28	20.00
92.22	1932.48	1952.48	20.00
92.23	1932.68	1952.68	20.00
92.24	1932.88	1952.88	20.00
92.25	1933.08	1953.08	20.00
92.26	1933.28	1953.28	20.00
92.27	1933.48	1953.48	20.00
92.28	1933.68	1953.68	20.00
92.29	1933.88	1953.88	20.00
92.30	1934.08	1954.08	20.00
92.31	1934.28	1954.28	20.00
92.32	1934.48	1954.48	20.00
92.33	1934.68	1954.68	20.00
92.34	1934.88	1954.88	20.00
92.35	1935.08	1955.08	20.00
92.36	1935.28	1955.28	20.00
92.37	1935.48	1955.48	20.00
92.38	1935.68	1955.68	20.00
92.39	1935.88	1955.88	20.00
92.40	1936.08	1956.08	20.00
92.41	1936.28	1956.28	20.00
92.42	1936.48	1956.48	20.00
92.43	1936.68	1956.68	20.00
92.44	1936.88	1956.88	20.00
92.45	1937.08	1957.08	20.00
92.46	1937.28	1957.28	20.00
92.47	1937.48	1957.48	20.00
92.48	1937.68	1957.68	20.00
92.49	1937.88	1957.88	20.00
92.50	1938.08	1958.08	20.00
92.51	1938.28	1958.28	20.00
92.52	1938.48	1958.48	20.00
92.53	1938.68	1958.68	20.00
92.54	1938.88	1958.88	20.00
92.55	1939.08	1959.08	20.00
92.56	1939.28	1959.28	20.00
92.57	1939.48	1959.48	20.00
92.58	1939.68	1959.68	20.00
92.59	1939.88	1959.88	20.00
92.60	1940.08	1960.08	20.00
92.61	1940.28	1960.28	20.00
92.62	1940.48	1960.48	20.00
92.63	1940.68	1960.68	20.00
92.64	1940.88	1960.88	20.00
92.65	1941.08	1961.08	20.00
92.66	1941.28	1961.28	20.00
92.67	1941.48	1961.48	20.00
92.68	1941.68	1961.68	20.00
92.69	1941.88	1961.88	20.00
92.70	1942.08	1962.08	20.00
92.71	1942.28	1962.28	20.00
92.72	1942.48	1962.48	20.00
92.73	1942.68	1962.68	20.00
92.74	1942.88	1962.88	20.00
92.75	1943.08	1963.08	20.00
92.76	1943.28	1963.28	20.00
92.77	1943.48	1963.48	20.00
92.78	1943.68	1963.68	20.00
92.79	1943.88	1963.88	20.00
92.80	1944.08	1964.08	20.00
92.81	1944.28	1964.28	20.00
92.82	1944.48	1964.48	20.00
92.83	1944.68	1964.68	20.00
92.84	1944.88	1964.88	20.00
92.85	1945.08	1965.08	20.00
92.86	1945.28	1965.28	20.00
92.87	1945.48	1965.48	20.00
92.88	1945.68	1965.68	20.00
92.89	1945.88	1965.88	20.00
92.90	1946.08	1966.08	20.00
92.91	1946.28	1966.28	20.00
92.92	1946.48	1966.48	20.00
92.93	1946.68	1966.68	20.00
92.94	1946.88	1966.88	20.00
92.95	1947.08	1967.08	20.00
92.96	1947.28	1967.28	20.00
92.97	1947.48	1967.48	20.00
92.98	1947.68	1967.68	20.00
92.99	1947.88	1967.88	20.00
93.00	1948.08	1968.08	20.00
93.01	1948.28	1968.28	20.00
93.02	1948.48	1968.48	20.00
93.03	1948.68	1968.68	20.00
93.04	1948.88	1968.88	20.00
93.05	1949.08	1969.08	20.00
93.06	1949.28	1969.28	20.00
93.07	1949.48	1969.48	20.00
93.08	1949.68	1969.68	20.00
93.09	1949.88	1969.88	20.00
93.10	1950.08	1970.08	20.00
93.11	1950.28	1970.28	20.00
93.12	1950.48	1970.48	20.00
93.13	1950.68	1970.68	20.00
93.14	1950.88	1970.88	20.00
93.15	1951.08	1971.08	20.00
93.16	1951.28	1971.28	20.00
93.17	1951.48	1971.48	20.00
93.18	1951.68	1971.68	20.00
93.19	1951.88	1971.88	20.00
93.20	1952.08	1972.08	20.00
93.21	1952.28	1972.28	20.00
93.22	1952.48	1972.48	20.00
93.23	1952.68	1972.68	20.00
93.24	1952.88	1972.88	20.00
93.25	1953.08	1973.08	20.00
93.26	1953.28	1973.28	20.00
93.27	1953.48	1973.48	20.00
93.28	1953.68	1973.68	20.00
93.29	1953.88	1973.88	20.00
93.30	1954.08	1974.08	20.00
93.31	1954.28	1974.28	20.00
93.32	1954.48	1974.48	20.00
93.33	1954.68	1974.68	20.00
93.34	1954.88	1974.88	20.00
93.35	1955.08	1975.08	20.00
93.36	1955.28	1975.28	20.00
93.37	1955.48	1975.48	20.00
93.38	1955.68	1975.68	20.00
93.39	1955.88	1975.88	20.00
93.40	1956.08	1976.08	20.00
93.41	1956.28	1976.28	20.00
93.42	1956.48	1976.48	20.00
93.43	1956.68	1976.68	20.00
93.44	1956.88	1976.88	20.00
93.45	1957.08	1977.08	20.00
93.46	1957.28	1977.28	20.00
93.47	1957.48	1977.48	20.00
93.48	1957.68	1977.68	20.00
93.49	1957.88	1977.88	20.00
93.50	1958.08	1978.08	20.00
93.51	1958.28	1978.28	20.00
93.52	1958.48	1978.48	20.00
93.53	1958.68	1978.68	20.00
93.54	1958.88	1978.88	20.00
93.55	1959.08	1979.08	20.00
93.56	1959.28	1979.28	20.00
93.57	1959.48	1979.48	20.00
93.58	1959.68	1979.68	20.00
93.59	1959.88	1979.88	20.00
93.60	1960.08	1980.08	20.00
93.61	1960.28	1980.28	20.00
93.62	1960.48	1980.48	20.00
93.63	1960.68	1980.68	20.00
93.64	1960.88	1980.88	20.00
93.65	1961.08	1981.08	20.00
93.66	1961.28	1981.28	20.00
93.67	1961.48	1981.48	20.00
93.68	1961.68	1981.68	20.00
93.69	1961.88	1981.88	20.00
93.70	1962.08	1982.08	20.00
93.71	1962.28	1982.28	20.00
93.72	1962.48	1982.48	20.00
93.73	1962.68	1982.68	20.00
93.74	1962.88	1982.88	20.00
93.75	1963.08	1983.08	20.00
93.76	1963.28	1983.28	20.00
93.77	1963.48	1983.48	20.00
93.78	1963.68	1983.68	20.00
93.79	1963.88	1983.88	20.00
93.80	1964.08	1984.08	20.00
93.81	1964.28	1984.28	20.00
93.82	1964.48	1984.48	20.00
93.83	1964.68	1984.68	20.00
93.84	1964.88	1984.88	20.00
93.85	1965.08	1985.08	20.00
93.86	1965.28	1985.28	20.00
93.87	1965.48	1985.48	20.00
93.88	1965.68	1985.68	20.00
93.89	1965.88	1985.88	20.00
93.90	1966.08	1986.08	20.00
93.91	1966.28	1986.28	20.00
93.92	1966.48	1986.48	20.00
93.93	1966.68	1986.68	20.00
93.94	1966.88	1986.88	20.00
93.95	1967.08	1987.08	20.00
93.96	1967.28	1987.28	20.00
93.97	1967.48	1987.48	20.00
93.98	1967.68	1987.68	20.00
93.99	1967.88	1987.88	20.00
94.00	1968.08	1988.08	20.00
94.01	1968.28	1988.28	20.00
94.02	1968.48	1988.48	20.00
94.03	1968.68	1988.68	20.00
94.04	1968.88	1988.88	20.00
94.05	1969.08	1989.08	20.00
94.06	1969.28	1989.28	20.00
94.07	1969.48	1989.48	20.00
94.08	1969.68	1989.68	20.00
94.09	1969.88	1989.88	20.00
94.10	1970.08	1990.08	20.00
94.11	1970.28	1990.28	20.00
94.12	1970.48	1990.48	20.00
94.13	1970.68	1990.68	20.00
94.14	1970.88	1990.88	20.00
94.15	1971.08	1991.08	20.00
94.16	1971.28	1991.28	20.00
94.17	1971.48	1991.48	20.00
94.18	1971.68	1991.68	20.00
94.19	1971.88	1991.88	20.00
94.20	1972.08	1992.08	20.00
94.21	1972.28	1992.28	20.00
94.22	1972.48	1992.48	20.00
94.23	1972.68	1992.68	20.00
94.24	1972.88	1992.88	20.00
94.25	1973.08	1993.08	20.00
94.26	1973.28	1993.28	20.00
94.27	1973.48	1993.48	20.00
94.28	1973.68	1993.68	20.00
94.29	1973.88	1993.88	20.00
94.30	1974.08	1994.08	20.00
94.31	1974.28	1994.28	20.00
94.32	1974.48	1994.48	20.00
94.33	1974.68	1994.68	20.00
94.34	1974.88	1994.88	20.00
94.35	1975.08	1995.08	20.00
94.36	1975.28	1995.28	20.00
94.37	1975.48	1995.48	20.00
94.38	1975.68	1995.68	20.00
94.39	1975.88	1995.88	20.00
94.40	1976.08	1996.08	20.00
94.41	1976.28	1996.28	20.00
94.42	1976.48	1996.48	20.00
94.43	1976.68	1996.68	20.00
94.44	1976.88	1996.88	20.00
94.45	1977.08	1997.08	20.00
94.46	1977.28	1997.28	20.00
94.47	1977.48	1997.48	20.00
94.48	1977.68	1997.68	20.00
94.49	1977.88	1997.88	20.00
94.50	1978.08	1998.08	20.00
94.51	1978.28	1998.28	20.00
94.52	1978.48	1998.48	20.00
94.53	1978.68	1998.68	20.00
94.54	1978.88	1998.88	20.00
94.55	1979.08	1999.08	20.00
94.56	1979.28	1999.28	20.00
94.57	1979.48	1999.48	20.00
94.58	1979.68	1999.68	20.00
94.59	1979.88	1999.88	20.00
94.60	1980.08	2000.08	20.00
94.61	1980.28	2000.28	20.00
94.62	1980.48	2000.48	20.00
94.63	1980.68	2000.68	20.00
94.64	1980.88	2000.88	20.00
94.65	1981.08	2001.08	20.00
94.66	1981.28	2001.28	20.00
94.67	1981.48	2001.48	20.00
94.68	1981.68	2001.68	20.00
94.69	1981.88	2001.88	20.00
94.70	1982.08	2002.08	20.00
94.71	1982.28	2002.28	20.00
94.72	1982.48	2002.48	20.00
94.73	1982.68	2002.68	20.00
94.74	1982.88	2002.88	20.00
94.75	1983.08	2003.08	20.00
94.76	1983.28	2003.28	20.00
94.77	1983.48	2003.48	20.00
94.78	1983.68	2003.68	20.00
94.79	1983.88	2003.88	20.00
94.80	1984.08	2004.08	20.00
94.81	1984.28	2004.28	20.00
94.82	1984.48	2004.48	20.00
94.83	1984.68	2004.68	20.00
94.84	1984.88	2004.88	20.00
94.85	1985.08	2005.08	20.00
94.86	1985.28	2005.28	20.00
94.87	1985.48	2005.48	20.00
94.88	1985.68	2005.68	20.00
94.89	1985.88	2005.88	20.00
94.90	1986.08	2006.08	20.00
94.91	1986.28	2006.28	20.00
94.92	1986.48	2006.48	20.00
94.93	1986.68	2006.68	20.00
94.94	1986.88	2006.88	20.00
94.95	1987.08	2007.08	20.00
94.96	1987.28	2007.28	20.00
94.97	1987.48	2007.48	20.00
94.98	1987.68	2007.68	20.00
94.99	1987.88	2007.88	20.00
95.00	1988.08	2008.08	20.00
95.01	1988.28	2008.28	20.00
95.02	1988.48	2008.48	20.00
95.03	1988.68	2008.68	20.00
95.04	1988.88	2008.88	20.00
95.05	1989.08	2009.08	20.00
95.06	1989.28	2009.28	20.00
95.07	1989.48	2009.48	20.00
95.08	1989.68	2009.68	20.00
95.09	1989.88	2009.88	20.00
95.10	1990.08	2010.08	20.00
95.11	1990.28	2010.28	20.00
95.12	1990.48	2010.48	20.00
95.13	1990.68	2010.68	20.00
95.14	1990.88	2010.88	20.00
95.15	1991.08	2011.08	20.00
95.16	1991.28	2011.28	20.00
95.17	1991.48	2011.48	20.00
95.18	1991.68	2011.68	20.00
95.19	1991.88	2011.88	20.00
95.20	1992.08	2012.08	20.00
95.21	1992.28	2012.28	20.00
95.22	1992.48	2012.48	20.00
95.23	1992.68	2012.68	20.00
95.24	1992.88	2012.88	20.00
95.25	1993.08	2013.08	20.00
95.26	1993.28	2013.28	20.00
95.27	1993.48	2013.48	20.00
95.28	1993.68	2013.68	20.00
95.29	1993.88	2013.88	20.00
95.30	1994.08	2014.08	20.00
95.31	1994.28	2014.28	20.00
95.32	1994.48	2014.48	20.00
95.33	1994.68	2014.68	20.00
95.34	1994.88	2014.88	20.00
95.35	1995.08	2015.08	20.00
95.36	1995.28	2015.28	20.00
95.37	1995.48	2015.48	20.00
95.38	1995.68	2015.68	20.00
95.39	1995.88	2015.88	20.00
95.40	1996.08	2016.08	20.00
95.41	1996.28	2016.28	20.00
95.42	1996.48	2016.48	20.00
95.43	1996.68	2016.68	20.00
95.44	1996.88	2016.88	20.00
95.45	1997.08	2017.08	20.00
95.46	1997.28	2017.28	20.00
95.47	1997.48	2017.48	20.00
95.48	1997.68	2017.68	20.00
95.49	1997.88	2017.88	20.00
95.50	1998.08	2018.08	20.00
95.51	1998.28	2018.28	20.00
95.52	1998.48	2018.48	20.00
95.53	1998.68	2018.68	20.00
95.54	1998.88	2018.88	20.00
95.55	1999.08	2019.08	20.00
95.56	1999.28	2019.28	20.00
95.57	1999.48	2019.48	20.00
95.58	1999.68	2019.68	20.00
95.59	1999.88	2019.88	20.00
95.60	2000.08	2020.08	20.00
95.61	2000.28	2020.28	20.00
95.62	2000.48	2020.48	20.00
95.63	2000.68	2020.68	20.00
95.64	2000.88	2020.88	20.00
95.65	2001.08	2021.08	20.00
95.66	2001.28	2021.28	20.00
95.67	2001.48	2021.48	20.00
95.68	2001.68	2021.68	20.00
95.69	2001.88	2021.88	20.00
95.70	2002.08	2022.08	20.00
95.71	2002.28	2022.28	20.00
95.72	2002.48	2022.48	20.00
95.73	2002.68	2022.68	20.00
95.74	2002.88	2022.88	20.00
95.75	2003.08	2023.08	20.00
95.76	2003.28	2023.28	20.00
95.77	2003.48	2023.48	20.00
95.78	2003.68	2023.68	20.00
95.79	2003.88	2023.88	20.00
95.80	2004.08	2024.08	20.00
95.81	2004.28	2024.28	20.00
95.82	2004.48	2024.48	20.00
95.83	2004.68	2024.68	20.00
95.84	2004.88	2024.88	20.00
95.85	2005.08	2025.08	20.00
95.86	2005.28	2025.28	20.00
95.87	2005.48	2025.48	20.00
95.88	2005.68	2025.68	20.00
95.89	2005.88	2025.88	20.00
95.90	2006.08	2026.08	20.00
95.91	2006.28	2026.28	20.00
95.92	2006.48	2026.48	20.00
95.93	2006.68	2026.68	20.00
95.94	2006.88	2026.88	20.00
95.95	2007.08	2027.08	20.00
95.96	2007.28	2027.28	20.00
95.97	2007.48	2027.48	20.00
95.98	2007.68	2027.68	20.00
95.99	2007.88	2027.88	20.00
96.00	2008.08	2028.08	20.00
96.01	2008.28	2028.28	20.00
96.02	2008.48	2028.48	20.00
96.03	2008.68	2028.68	20.00
96.04	2008.88	2028.88	20.00
96.05	2009.08	2029.08	20.00
96.06	2009.28	2029.28	20.00
96.07	2009.48	2029.48	20.00
96.08	2009.68	2029.68	20.00
96.09	2009.88	2029.88	20.00
96.10	2010.08	2030.08	20.00
96.11	2010.28	2030.28	20.00
96.12	2010.48	2030.48	20.00
96.13	2010.68	2030.68	20.00
96.14	2010.88	2030.88	20.00
96.15	2011.08	2031.08	20.00
96.16	2011.28	2031.28	20.00
96.17	2011.48	2031.48	20.00
96.18	2011.68	2031.68	20.00
96.19	2011.88	2031.88	20.00
96.20	2012.08	2032.08	20.00
